local_date,label,country
2017-01-02,Public Holiday,botswana
2017-04-14,Good Friday,botswana
2017-04-15,Public Holiday,botswana
2017-04-17,Easter Monday,botswana
2017-05-01,May Day/Labour Day,botswana
2017-05-25,Ascension Day,botswana
2017-07-01,Sir Seretse Khama Day,botswana
2017-07-17,President's Day,botswana
2017-07-18,Public Holiday,botswana
2017-09-30,Botswana Day,botswana
2017-10-02,Public Holiday,botswana
2017-12-25,Christmas Day,botswana
2017-12-26,Boxing Day,botswana
2017-01-01,New Year,botswana
2017-01-02,Public Holiday,uganda
2017-04-14,Good Friday,uganda
2017-04-17,Easter Monday,uganda
2017-05-25,Ascension Day,uganda
2017-12-25,Christmas Day,uganda
2017-12-26,Boxing Day,uganda
2017-01-01,New Year,uganda
2017-01-02,Public Holiday,malawi
2017-04-14,Good Friday,malawi
2017-04-17,Easter Monday,malawi
2017-05-25,Ascension Day,malawi
2017-12-25,Christmas Day,malawi
2017-12-26,Boxing Day,malawi
2017-01-01,New Year,malawi
2017-01-02,Public Holiday,south_africa
2017-04-14,Good Friday,south_africa
2017-04-17,Easter Monday,south_africa
2017-05-25,Ascension Day,south_africa
2017-12-25,Christmas Day,south_africa
2017-12-26,Boxing Day,south_africa
2017-01-01,New Year,south_africa
2017-01-02,Public Holiday,zimbabwe
2017-04-14,Good Friday,zimbabwe
2017-04-17,Easter Monday,zimbabwe
2017-05-25,Ascension Day,zimbabwe
2017-12-25,Christmas Day,zimbabwe
2017-12-26,Boxing Day,zimbabwe
2017-01-01,New Year,zimbabwe
2019-01-01,New Year's Day,tanzania
2019-01-12,Zanzibar Revolution Day,tanzania
2019-04-07,The Sheikh Abeid Amani Karume Day,tanzania
2019-04-17,Easter Monday,tanzania
2019-04-26,Union Day,tanzania
2019-05-01,Labour Day,tanzania
2019-06-26,Eid al-Fitr,tanzania
2019-07-07,Saba Saba Day,tanzania
2019-07-14,Good Friday,tanzania
2019-08-08,Nane Nane Day,tanzania
2019-10-14,Nyerere Day,tanzania
2019-12-01,Mawlid Day,tanzania
2019-12-09,Independence Day,tanzania
2019-12-25,Christmas Day,tanzania
2019-12-26,Boxing Day,tanzania
